taxon,lineage
Leste/TL05/2020,B.6
Leste/TL06/2020,B.6
Leste/TL20/2020,B.6
Leste/TL14/2020,B.6
Leste/TL15/2020,B.6
Leste/TL16/2020,B.6
Leste/TL17/2020,B.6
Leste/TL19/2020,B.6
Leste/TL23/2020,B.6
Leste/TL07/2020,B.6
Leste/TL21/2020,B.6
Leste/TL18/2020,B.6
Leste/TL22/2020,B.6
India_CCMB/K272/2020,B.6
India_MaxCov0035/CSIR-IGIB/2020,B.6
Singapore/241/2020,B.6
Australia/VIC660/2020,B.6
Australia/VIC678/2020,B.6
Australia/VIC494/2020,B.6
Australia/VIC397/2020,B.6
Australia/VIC461/2020,B.6
Australia/VIC231/2020,B.6
Taiwan/TSGH-11/2020,B.6
Singapore/145/2020,B.6
India_CCMB/L149/2020,B.6
India_CCMB/J009/2020,B.6
India_CCMB/J199/2020,B.6
Australia/QLDID921/2020,B.6
Australia/VIC42/2020,B.6
Gambia/GC19-026/2020,B.6
India_CCMB/J212/2020,B.6
USA/MN-MDH-109/2020,B.6
India_CCMB/J288/2020,B.6
India_CCMB/K601/2020,B.6
India/GMC-RK1090/2020,B.6
India_CCMB/O1/2020,B.6
USA/CA-CZB-1231/2020,B.6
Australia/NSW45/2020,B.6
Oman/RESP-20-2850/2020,B.6
India/NIV-7511/2020,B.6
India/SMSCOV161/2020,B.6
India_CCMB/J220/2020,B.6
India/GMC-RR1191/2020,B.6
Canada_ON/PHL3459/2020,B.6
Canada_ON/PHL0141/2020,B.6
India_CCMB/J068/2020,B.6
USA/CA-QDX-33/2020,B.6
India_CCMB/J043/2020,B.6
Guam_GU_NHG/02/2020,B.6
India_CCMB/J208/2020,B.6
Australia/NSW48/2020,B.6
USA/WA-UW-6213/2020,B.6
Brazil/SC-766/2020,B.6
USA/WA-UW168/2020,B.6
USA/WA-UW93/2020,B.6
India/nimh-0318/2020,B.6
India/nimh-0351/2020,B.6
India/nimh-1071/2020,B.6
India/nimh-0996/2020,B.6
